#front|back
<h1>教会</h1>|<div class='reading'>きょうかい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* church</div><br><div class='definition'>* congregation</div><br><br>
<h1>僅か</h1>|<div class='reading'>わずか</div><br><hr><div class='tags'>uk-adj-na-adj-no</div><br><div class='definition'>* a little</div><br><div class='definition'>* a few</div><br><div class='definition'>* small</div><br><div class='definition'>* slight</div><br><div class='definition'>* trifling</div><br><div class='definition'>* meagre</div><br><div class='definition'>* meager</div><br><div class='definition'>* narrow (margin)</div><br><br><div class='tags'>uk-adv</div><br><div class='definition'>* only</div><br><div class='definition'>* just</div><br><div class='definition'>* merely</div><br><div class='definition'>* no more than</div><br><br>
<h1>満たす</h1>|<div class='reading'>みたす</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to satisfy (conditions, one's appetite, etc.)</div><br><div class='definition'>* to meet (e.g. demands)</div><br><div class='definition'>* to fulfill</div><br><div class='definition'>* to gratify</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to fill (e.g. a cup)</div><br><div class='definition'>* to pack</div><br><div class='definition'>* to supply</div><br><br>
<h1>終了</h1>|<div class='reading'>しゅうりょう</div><br><hr><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* end</div><br><div class='definition'>* close</div><br><div class='definition'>* termination</div><br><br>
<h1>膝</h1>|<div class='reading'>ひざ</div><br><div class='reading'>ヒザ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* knee</div><br><br><div class='tags'>n</div><br><div class='definition'>* lap</div><br><div class='definition'>* knee and thigh (while sitting)</div><br><br>
<h1>振り返る</h1>|<div class='reading'>ふりかえる</div><br><hr><div class='tags'>v5r-vi-vt</div><br><div class='definition'>* to turn one's head</div><br><div class='definition'>* to look over one's shoulder</div><br><div class='definition'>* to turn around</div><br><div class='definition'>* to look back</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to think back (on)</div><br><div class='definition'>* to reminisce</div><br><div class='definition'>* to look back (on)</div><br><div class='definition'>* to reflect (on)</div><br><br>
<h1>隠れる</h1>|<div class='reading'>かくれる</div><br><hr><div class='tags'>v1-vi</div><br><div class='definition'>* to hide</div><br><div class='definition'>* to be hidden</div><br><div class='definition'>* to conceal oneself</div><br><div class='definition'>* to disappear</div><br><br>
<h1>ついに</h1>|<div class='reading'>ついに</div><br><hr><div class='tags'>uk-adv</div><br><div class='definition'>* finally</div><br><div class='definition'>* at last</div><br><br><div class='tags'>uk-adv</div><br><div class='definition'>* in the end</div><br><div class='definition'>* after all</div><br><div class='definition'>* never (happened)</div><br><br>
<h1>鼻</h1>|<div class='reading'>はな</div><br><hr><div class='tags'>n</div><br><div class='definition'>* nose</div><br><br>
<h1>一応</h1>|<div class='reading'>いちおう</div><br><hr><div class='tags'>n-adj-no-adv</div><br><div class='definition'>* more or less</div><br><div class='definition'>* though not quite satisfactorily</div><br><div class='definition'>* after a fashion</div><br><div class='definition'>* pretty much</div><br><div class='definition'>* roughly</div><br><div class='definition'>* so far as it goes</div><br><br><div class='tags'>n-adv</div><br><div class='definition'>* tentatively</div><br><div class='definition'>* for the time being</div><br><br><div class='tags'>n-adv</div><br><div class='definition'>* just in case</div><br><br><div class='tags'>n-adv</div><br><div class='definition'>* once</div><br><br>
<h1>鋭い</h1>|<div class='reading'>するどい</div><br><hr><div class='tags'>adj-i</div><br><div class='definition'>* sharp (knife, claws, etc.)</div><br><div class='definition'>* pointed</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* sharp (pain, tone, etc.)</div><br><div class='definition'>* acute</div><br><div class='definition'>* stabbing</div><br><div class='definition'>* cutting (remark, criticism, etc.)</div><br><div class='definition'>* stinging</div><br><div class='definition'>* biting</div><br><div class='definition'>* fierce (attack)</div><br><div class='definition'>* pointed (question, look, etc.)</div><br><div class='definition'>* piercing (gaze)</div><br><div class='definition'>* shrill (sound)</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* keen (intuition, sense of smell, etc.)</div><br><div class='definition'>* acute</div><br><div class='definition'>* sharp (eye, mind, etc.)</div><br><div class='definition'>* astute</div><br><div class='definition'>* shrewd</div><br><div class='definition'>* discerning</div><br><div class='definition'>* penetrating (insight, question, etc.)</div><br><div class='definition'>* perceptive</div><br><br>
<h1>咳</h1>|<div class='reading'>せき</div><br><div class='reading'>しわぶき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* cough</div><br><div class='definition'>* coughing</div><br><div class='definition'>* tussis</div><br><br>
<h1>格好</h1>|<div class='reading'>かっこう</div><br><div class='reading'>かっこ</div><br><div class='reading'>カッコ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* shape</div><br><div class='definition'>* form</div><br><div class='definition'>* figure</div><br><div class='definition'>* posture</div><br><div class='definition'>* pose</div><br><br><div class='tags'>n</div><br><div class='definition'>* appearance</div><br><br><div class='tags'>n</div><br><div class='definition'>* state</div><br><div class='definition'>* situation</div><br><br><div class='tags'>adj-na-adj-no-n</div><br><div class='definition'>* suitable</div><br><div class='definition'>* fit</div><br><div class='definition'>* reasonable</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* about</div><br><br>
<h1>庭</h1>|<div class='reading'>にわ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* garden</div><br><div class='definition'>* yard</div><br><div class='definition'>* courtyard</div><br><br><div class='tags'>n</div><br><div class='definition'>* field (of action)</div><br><div class='definition'>* area</div><br><br>
<h1>別れる</h1>|<div class='reading'>わかれる</div><br><hr><div class='tags'>v1-vi</div><br><div class='definition'>* to part (usu. of people)</div><br><div class='definition'>* to part from</div><br><div class='definition'>* to part with</div><br><div class='definition'>* to be apart from</div><br><br><div class='tags'>v1-vi</div><br><div class='definition'>* to separate (of a couple)</div><br><div class='definition'>* to break up</div><br><div class='definition'>* to divorce</div><br><br><div class='tags'>v1-vi</div><br><div class='definition'>* to lose (e.g. one's mother)</div><br><div class='definition'>* to be bereaved</div><br><br>
<h1>対策</h1>|<div class='reading'>たいさく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* measure</div><br><div class='definition'>* step</div><br><div class='definition'>* countermeasure</div><br><div class='definition'>* counterplan</div><br><div class='definition'>* countermove</div><br><div class='definition'>* strategy</div><br><div class='definition'>* preparation (e.g. for a test)</div><br><br>
<h1>踊る</h1>|<div class='reading'>おどる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to dance (orig. a hopping dance)</div><br><br>
<h1>関する</h1>|<div class='reading'>かんする</div><br><hr><div class='tags'>vs-s</div><br><div class='definition'>* to concern</div><br><div class='definition'>* to be related</div><br><br>
<h1>鳴る</h1>|<div class='reading'>なる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to sound</div><br><div class='definition'>* to ring</div><br><div class='definition'>* to resound</div><br><div class='definition'>* to echo</div><br><div class='definition'>* to roar</div><br><div class='definition'>* to rumble</div><br><br>
<h1>面倒</h1>|<div class='reading'>めんどう</div><br><hr><div class='tags'>n-adj-na</div><br><div class='definition'>* trouble</div><br><div class='definition'>* bother</div><br><br><div class='tags'>n-adj-na</div><br><div class='definition'>* trouble</div><br><div class='definition'>* difficulty</div><br><br><div class='tags'>n</div><br><div class='definition'>* care</div><br><div class='definition'>* attention</div><br><br>
<h1>間違い</h1>|<div class='reading'>まちがい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* mistake</div><br><div class='definition'>* error</div><br><div class='definition'>* blunder</div><br><br><div class='tags'>n</div><br><div class='definition'>* accident</div><br><div class='definition'>* mishap</div><br><div class='definition'>* trouble</div><br><br><div class='tags'>n</div><br><div class='definition'>* improper conduct (e.g. between man and woman)</div><br><div class='definition'>* indiscretion</div><br><br>
<h1>画面</h1>|<div class='reading'>がめん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* screen (of a TV, computer, etc.)</div><br><br><div class='tags'>n</div><br><div class='definition'>* image (on a screen)</div><br><div class='definition'>* picture</div><br><div class='definition'>* scene</div><br><br><div class='tags'>n</div><br><div class='definition'>* surface of a painting (picture, drawing, etc.)</div><br><br>
<h1>真面目</h1>|<div class='reading'>まじめ</div><br><div class='reading'>マジメ</div><br><hr><div class='tags'>adj-na-n</div><br><div class='definition'>* serious</div><br><div class='definition'>* earnest</div><br><div class='definition'>* sober</div><br><div class='definition'>* grave</div><br><br><div class='tags'>adj-na-n</div><br><div class='definition'>* honest</div><br><div class='definition'>* sincere</div><br><br><br><div class='reading'>しんめんもく</div><br><div class='reading'>しんめんぼく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* one's true character</div><br><div class='definition'>* one's true self</div><br><div class='definition'>* one's true worth</div><br><br><div class='tags'>obs-adj-na-n</div><br><div class='definition'>* serious</div><br><div class='definition'>* earnest</div><br><br>
<h1>視線</h1>|<div class='reading'>しせん</div><br><hr><div class='tags'>n</div><br><div class='definition'>* one's line of sight</div><br><div class='definition'>* one's gaze</div><br><div class='definition'>* one's eyes (looking)</div><br><div class='definition'>* glance</div><br><div class='definition'>* gaze</div><br><div class='definition'>* look</div><br><br>
<h1>そば</h1>|<div class='reading'>そば</div><br><div class='reading'>そく</div><br><div class='reading'>はた</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* near</div><br><div class='definition'>* close</div><br><div class='definition'>* beside</div><br><div class='definition'>* vicinity</div><br><div class='definition'>* proximity</div><br><div class='definition'>* besides</div><br><div class='definition'>* while</div><br><br><div class='tags'>n</div><br><div class='definition'>* third person</div><br><br><br><div class='reading'>そば</div><br><div class='reading'>そばむぎ</div><br><div class='reading'>そまむぎ</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* buckwheat (Fagopyrum esculentum)</div><br><br><div class='tags'>uk-food-n</div><br><div class='definition'>* soba</div><br><div class='definition'>* Japanese buckwheat noodles</div><br><br><div class='tags'>uk-food-n</div><br><div class='definition'>* Chinese-style noodles</div><br><br>
<h1>一言</h1>|<div class='reading'>ひとこと</div><br><div class='reading'>いちげん</div><br><div class='reading'>いちごん</div><br><hr><div class='tags'>n-vs-vt-vi</div><br><div class='definition'>* single word</div><br><div class='definition'>* a few words</div><br><div class='definition'>* brief comment</div><br><br>
<h1>資格</h1>|<div class='reading'>しかく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* qualifications</div><br><div class='definition'>* requirements</div><br><div class='definition'>* capabilities</div><br><br>
<h1>飛ばす</h1>|<div class='reading'>とばす</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to let fly</div><br><div class='definition'>* to make fly</div><br><div class='definition'>* to send flying</div><br><div class='definition'>* to blow off (e.g. in the wind)</div><br><div class='definition'>* to launch</div><br><div class='definition'>* to fire</div><br><div class='definition'>* to hurl</div><br><div class='definition'>* to shoot</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to skip over</div><br><div class='definition'>* to leave out</div><br><div class='definition'>* to omit</div><br><div class='definition'>* to drop (e.g. a stitch)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to run fast</div><br><div class='definition'>* to drive fast</div><br><div class='definition'>* to gallop</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to spray</div><br><div class='definition'>* to splash</div><br><div class='definition'>* to spatter</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to say without reservation</div><br><div class='definition'>* to call out (e.g. a jeer)</div><br><div class='definition'>* to rattle off (e.g. a joke)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to spread (e.g. a rumour)</div><br><div class='definition'>* to circulate</div><br><div class='definition'>* to send out (a message)</div><br><div class='definition'>* to issue (e.g. an appeal)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to transfer (to a less important post)</div><br><div class='definition'>* to send away (e.g. to a provincial branch)</div><br><div class='definition'>* to demote</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to dispatch quickly (e.g. a reporter)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to get rid of</div><br><div class='definition'>* to burn off (alcohol)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to attack (e.g. with a leg manoeuvre)</div><br><br><div class='tags'>aux-v-v5s</div><br><div class='definition'>* to do vigorously</div><br><div class='definition'>* to do roughly</div><br><div class='definition'>* to do energetically</div><br><br>
<h1>秋</h1>|<div class='reading'>あき</div><br><hr><div class='tags'>n-adv</div><br><div class='definition'>* autumn</div><br><div class='definition'>* fall</div><br><br><br><div class='reading'>とき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* time</div><br><div class='definition'>* hour</div><br><div class='definition'>* moment</div><br><br><div class='tags'>n-adv</div><br><div class='definition'>* occasion</div><br><div class='definition'>* case</div><br><br><div class='tags'>n</div><br><div class='definition'>* chance</div><br><div class='definition'>* opportunity</div><br><div class='definition'>* season</div><br><br><div class='tags'>n</div><br><div class='definition'>* the times</div><br><div class='definition'>* the age</div><br><div class='definition'>* the day</div><br><br><div class='tags'>gramm-n</div><br><div class='definition'>* tense</div><br><br>
<h1>揃う</h1>|<div class='reading'>そろう</div><br><hr><div class='tags'>v5u-vi</div><br><div class='definition'>* to be complete</div><br><div class='definition'>* to be all present</div><br><div class='definition'>* to make a full set</div><br><div class='definition'>* to be satisfied (of conditions)</div><br><br><div class='tags'>v5u-vi</div><br><div class='definition'>* to be equal</div><br><div class='definition'>* to be uniform</div><br><div class='definition'>* to be even</div><br><div class='definition'>* to match</div><br><div class='definition'>* to agree</div><br><br><div class='tags'>v5u-vi</div><br><div class='definition'>* to gather</div><br><div class='definition'>* to assemble</div><br><div class='definition'>* to be collected</div><br><br>
<h1>神様</h1>|<div class='reading'>かみさま</div><br><hr><div class='tags'>hon-n</div><br><div class='definition'>* God</div><br><div class='definition'>* god</div><br><br><div class='tags'>n</div><br><div class='definition'>* ace</div><br><div class='definition'>* king</div><br><div class='definition'>* superior person</div><br><div class='definition'>* god (amongst men)</div><br><br>
<h1>急ぐ</h1>|<div class='reading'>いそぐ</div><br><hr><div class='tags'>v5g-vi-vt</div><br><div class='definition'>* to hurry</div><br><div class='definition'>* to rush</div><br><div class='definition'>* to hasten</div><br><div class='definition'>* to make something happen sooner</div><br><br>
<h1>酷い</h1>|<div class='reading'>ひどい</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* cruel</div><br><div class='definition'>* heartless</div><br><div class='definition'>* hard</div><br><div class='definition'>* harsh</div><br><div class='definition'>* severe</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* violent</div><br><div class='definition'>* intense</div><br><div class='definition'>* strong</div><br><div class='definition'>* heavy</div><br><div class='definition'>* extreme</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* very bad</div><br><div class='definition'>* terrible</div><br><div class='definition'>* awful</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* excessive</div><br><div class='definition'>* exorbitant</div><br><div class='definition'>* unreasonable</div><br><div class='definition'>* outrageous</div><br><div class='definition'>* unfair</div><br><div class='definition'>* unjust</div><br><br><br><div class='reading'>むごい</div><br><div class='reading'>ムゴい</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* cruel</div><br><div class='definition'>* merciless</div><br><div class='definition'>* pitiless</div><br><div class='definition'>* brutal</div><br><div class='definition'>* atrocious</div><br><div class='definition'>* inhuman</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* tragic</div><br><div class='definition'>* horrible</div><br><div class='definition'>* terrible</div><br><div class='definition'>* dreadful</div><br><div class='definition'>* miserable</div><br><div class='definition'>* ugly</div><br><div class='definition'>* horrifying</div><br><br>
<h1>お互い</h1>|<div class='reading'>おたがい</div><br><hr><div class='tags'>pol-n-adj-no-adv</div><br><div class='definition'>* each other</div><br><div class='definition'>* one another</div><br><br>
<h1>濃い</h1>|<div class='reading'>こい</div><br><hr><div class='tags'>adj-i</div><br><div class='definition'>* deep (colour)</div><br><div class='definition'>* dark</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* strong (flavour, smell, etc.)</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* thick (consistency)</div><br><div class='definition'>* dense</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* strong (possibility, etc.)</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* thick (i.e. "as thick as thieves")</div><br><div class='definition'>* close</div><br><div class='definition'>* deep (love, etc.)</div><br><br>
<h1>指定</h1>|<div class='reading'>してい</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* designation</div><br><div class='definition'>* specification</div><br><div class='definition'>* assignment</div><br><div class='definition'>* appointment</div><br><div class='definition'>* pointing at</div><br><br>
<h1>黙る</h1>|<div class='reading'>だまる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to be silent</div><br><div class='definition'>* to say nothing</div><br><br>
<h1>楽しめる</h1>|No data available. Sorry :(
<h1>下ろす</h1>|<div class='reading'>おろす</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to take down</div><br><div class='definition'>* to bring down</div><br><div class='definition'>* to lower (a hand, flag, shutter, etc.)</div><br><div class='definition'>* to drop (an anchor, curtain, etc.)</div><br><div class='definition'>* to let down (hair)</div><br><div class='definition'>* to launch (a boat)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to drop off (a passenger)</div><br><div class='definition'>* to let off</div><br><div class='definition'>* to unload (goods, a truck, etc.)</div><br><div class='definition'>* to offload</div><br><div class='definition'>* to discharge</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to withdraw (money)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to use for the first time</div><br><div class='definition'>* to wear for the first time</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to cut off</div><br><div class='definition'>* to fillet (fish)</div><br><div class='definition'>* to grate (e.g. radish)</div><br><div class='definition'>* to prune (branches)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to remove (someone from a position)</div><br><div class='definition'>* to oust</div><br><div class='definition'>* to drop</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to clear (the table)</div><br><div class='definition'>* to remove (offerings from an altar)</div><br><div class='definition'>* to pass down (e.g. old clothes)</div><br><div class='definition'>* to hand down</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to expel from the body (e.g. worms)</div><br><div class='definition'>* to abort (a fetus)</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to invoke (a spirit)</div><br><div class='definition'>* to call down</div><br><br>
<h1>制服</h1>|<div class='reading'>せいふく</div><br><hr><div class='tags'>n</div><br><div class='definition'>* uniform</div><br><br>
<h1>光る</h1>|<div class='reading'>ひかる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to shine</div><br><div class='definition'>* to glitter</div><br><div class='definition'>* to be bright</div><br><br>
<h1>辛い</h1>|<div class='reading'>づらい</div><br><div class='reading'>ずらい</div><br><hr><div class='tags'>uk-suf-adj-i</div><br><div class='definition'>* difficult to ...</div><br><div class='definition'>* hard to ...</div><br><br><br><div class='reading'>つらい</div><br><div class='reading'>ツライ</div><br><div class='reading'>ツラい</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* painful</div><br><div class='definition'>* bitter</div><br><div class='definition'>* heart-breaking</div><br><div class='definition'>* difficult (emotionally)</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* tough</div><br><div class='definition'>* difficult</div><br><div class='definition'>* hard (usu. of situations)</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* cruel</div><br><div class='definition'>* harsh</div><br><div class='definition'>* cold</div><br><br><br><div class='reading'>からい</div><br><hr><div class='tags'>adj-i</div><br><div class='definition'>* spicy</div><br><div class='definition'>* hot</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* salty</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* harsh (criticism)</div><br><div class='definition'>* severe (punishment)</div><br><div class='definition'>* strict</div><br><br><div class='tags'>adj-i</div><br><div class='definition'>* painful</div><br><div class='definition'>* bitter</div><br><div class='definition'>* difficult</div><br><div class='definition'>* tough</div><br><br>
<h1>勇気</h1>|<div class='reading'>ゆうき</div><br><hr><div class='tags'>n</div><br><div class='definition'>* courage</div><br><div class='definition'>* bravery</div><br><div class='definition'>* valour</div><br><div class='definition'>* valor</div><br><div class='definition'>* nerve</div><br><div class='definition'>* boldness</div><br><br>
<h1>ひどい</h1>|<div class='reading'>ひどい</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* cruel</div><br><div class='definition'>* heartless</div><br><div class='definition'>* hard</div><br><div class='definition'>* harsh</div><br><div class='definition'>* severe</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* violent</div><br><div class='definition'>* intense</div><br><div class='definition'>* strong</div><br><div class='definition'>* heavy</div><br><div class='definition'>* extreme</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* very bad</div><br><div class='definition'>* terrible</div><br><div class='definition'>* awful</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* excessive</div><br><div class='definition'>* exorbitant</div><br><div class='definition'>* unreasonable</div><br><div class='definition'>* outrageous</div><br><div class='definition'>* unfair</div><br><div class='definition'>* unjust</div><br><br>
<h1>備える</h1>|<div class='reading'>そなえる</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to furnish with</div><br><div class='definition'>* to equip with</div><br><div class='definition'>* to provide</div><br><div class='definition'>* to install</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to prepare for</div><br><div class='definition'>* to make preparations for</div><br><div class='definition'>* to make provision for</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to possess (all that is needed)</div><br><div class='definition'>* to be endowed with</div><br><div class='definition'>* to be equipped with</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to be born with</div><br><div class='definition'>* to have since birth</div><br><br>
<h1>たった</h1>|<div class='reading'>たった</div><br><hr><div class='tags'>adj-f-adv</div><br><div class='definition'>* only</div><br><div class='definition'>* merely</div><br><div class='definition'>* but</div><br><div class='definition'>* no more than</div><br><br>
<h1>おかしい</h1>|<div class='reading'>おかしい</div><br><div class='reading'>オカシイ</div><br><hr><div class='tags'>uk-adj-i</div><br><div class='definition'>* funny</div><br><div class='definition'>* amusing</div><br><div class='definition'>* comical</div><br><div class='definition'>* laughable</div><br><div class='definition'>* ridiculous</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* strange</div><br><div class='definition'>* odd</div><br><div class='definition'>* funny</div><br><div class='definition'>* peculiar</div><br><div class='definition'>* weird</div><br><div class='definition'>* wrong</div><br><div class='definition'>* unusual</div><br><div class='definition'>* eccentric</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* wrong</div><br><div class='definition'>* unsuitable</div><br><div class='definition'>* improper</div><br><div class='definition'>* inappropriate</div><br><div class='definition'>* unbecoming</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* suspicious</div><br><br>
<h1>禁止</h1>|<div class='reading'>きんし</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* prohibition</div><br><div class='definition'>* inhibition</div><br><div class='definition'>* ban</div><br><br>
<h1>今年</h1>|<div class='reading'>ことし</div><br><div class='reading'>こんねん</div><br><hr><div class='tags'>n-adv</div><br><div class='definition'>* this year</div><br><br>
<h1>次第</h1>|<div class='reading'>しだい</div><br><hr><div class='tags'>n-suf</div><br><div class='definition'>* depending on</div><br><br><div class='tags'>n-suf-n-adv</div><br><div class='definition'>* as soon as</div><br><div class='definition'>* immediately after</div><br><div class='definition'>* upon</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* as (e.g. "as one is told", "as one wishes")</div><br><div class='definition'>* whatever (e.g. "whatever is at hand")</div><br><br><div class='tags'>n</div><br><div class='definition'>* order</div><br><div class='definition'>* program</div><br><div class='definition'>* programme</div><br><div class='definition'>* precedence</div><br><br><div class='tags'>n</div><br><div class='definition'>* circumstances</div><br><div class='definition'>* course of events</div><br><div class='definition'>* state of things</div><br><br><div class='tags'>n</div><br><div class='definition'>* reason</div><br><br>
<h1>分かれる</h1>|<div class='reading'>わかれる</div><br><hr><div class='tags'>v1-vi</div><br><div class='definition'>* to branch</div><br><div class='definition'>* to fork</div><br><div class='definition'>* to diverge</div><br><br><div class='tags'>v1-vi</div><br><div class='definition'>* to separate</div><br><div class='definition'>* to split</div><br><div class='definition'>* to divide</div><br><br><div class='tags'>v1-vi</div><br><div class='definition'>* to disperse</div><br><div class='definition'>* to scatter</div><br><br>
<h1>維持</h1>|<div class='reading'>いじ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* maintenance</div><br><div class='definition'>* preservation</div><br><div class='definition'>* improvement</div><br><br>
<h1>枝</h1>|<div class='reading'>し</div><br><hr><div class='tags'>ctr</div><br><div class='definition'>* counter for long, thin things (i.e. swords)</div><br><br><br><div class='reading'>えだ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* branch</div><br><div class='definition'>* bough</div><br><div class='definition'>* limb</div><br><div class='definition'>* twig</div><br><div class='definition'>* sprig</div><br><div class='definition'>* spray</div><br><br>
<h1>構う</h1>|<div class='reading'>かまう</div><br><hr><div class='tags'>v5u</div><br><div class='definition'>* to mind</div><br><div class='definition'>* to care about</div><br><div class='definition'>* to be concerned about</div><br><div class='definition'>* to have a regard for</div><br><br><div class='tags'>v5u-vi</div><br><div class='definition'>* to be an issue</div><br><div class='definition'>* to matter</div><br><div class='definition'>* to create inconvenience</div><br><br><div class='tags'>uk-v5u</div><br><div class='definition'>* to keep company</div><br><div class='definition'>* to care for</div><br><div class='definition'>* to look after</div><br><div class='definition'>* to entertain</div><br><div class='definition'>* to pay attention to</div><br><div class='definition'>* to spend time with</div><br><br><div class='tags'>v5u-vi</div><br><div class='definition'>* to interfere with</div><br><div class='definition'>* to meddle in</div><br><br><div class='tags'>v5u-vt</div><br><div class='definition'>* to tease</div><br><br><div class='tags'>arch-v5u-vt</div><br><div class='definition'>* to banish</div><br><div class='definition'>* to prohibit</div><br><br>
<h1>喧嘩</h1>|<div class='reading'>けんか</div><br><div class='reading'>ケンカ</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* quarrel</div><br><div class='definition'>* brawl</div><br><div class='definition'>* fight</div><br><div class='definition'>* squabble</div><br><div class='definition'>* scuffle</div><br><div class='definition'>* argument</div><br><br>
<h1>おやつ</h1>|<div class='reading'>おやつ</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* between-meal snack</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* mid-afternoon (around 3 o'clock) snack</div><br><div class='definition'>* afternoon refreshment</div><br><div class='definition'>* afternoon tea</div><br><br>
<h1>立派</h1>|<div class='reading'>りっぱ</div><br><hr><div class='tags'>adj-na</div><br><div class='definition'>* splendid</div><br><div class='definition'>* fine</div><br><div class='definition'>* handsome</div><br><div class='definition'>* elegant</div><br><div class='definition'>* imposing</div><br><div class='definition'>* prominent</div><br><div class='definition'>* impressive</div><br><br><div class='tags'>adj-na</div><br><div class='definition'>* praiseworthy</div><br><div class='definition'>* creditable</div><br><div class='definition'>* worthy</div><br><br><div class='tags'>adj-na</div><br><div class='definition'>* legal</div><br><div class='definition'>* legitimate</div><br><div class='definition'>* lawful</div><br><br><div class='tags'>adj-na</div><br><div class='definition'>* undeniable (e.g. crime)</div><br><div class='definition'>* indisputable</div><br><div class='definition'>* solid</div><br><br>
